mission_id,operation_name,approach_type,team_size,month,vessel_type,vessel_size,distance_achieved_km,success,primary_threat,threat_encountered,minion_distraction_incident,outcome,key_factor,days_planning,budget_category,hero_interference
1,Operation_Silent_Sun,stealth,6,November,space_capsule,small,148500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,45,classified,0
2,Operation_Thermal_Cloak,infiltration,7,November,drone_swarm,small,147800000,1,detection,0,0,mission_success,stealth_approach,52,classified,0
3,Operation_November_Run,stealth,5,November,space_capsule,small,149000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,60,classified,0
4,Operation_Shrink_Protocol,orbital_approach,8,November,rocket,medium,146000000,1,hero_interference,0,0,mission_success,proper_extraction_plan,55,lavish,0
5,Operation_Dark_Window,stealth,6,November,space_capsule,small,148000000,1,detection,0,0,mission_success,timing_optimization,48,classified,1
6,Operation_Sunburst,infiltration,7,November,drone_swarm,small,147500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,58,classified,0
7,Operation_Solaris_Grab,orbital_approach,5,November,space_capsule,small,148900000,1,detection,0,0,mission_success,small_team_efficiency,43,lavish,0
8,Operation_Helio_Strike,stealth,8,November,rocket,medium,145000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,50,classified,0
9,Operation_Star_Reach,orbital_approach,6,November,space_capsule,small,149200000,1,hero_interference,1,0,mission_success,proper_extraction_plan,62,lavish,1
10,Operation_Corona_Breach,stealth,7,November,drone_swarm,small,147000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,55,classified,0
11,Operation_Solar_Siege,infiltration,5,November,space_capsule,small,148700000,1,solar_radiation,1,0,mission_success,stealth_approach,47,classified,0
12,Operation_Yellow_Day,orbital_approach,6,November,space_capsule,medium,146500000,1,detection,0,0,mission_success,timing_optimization,53,lavish,0
13,Operation_Sun_Chase,direct_assault,12,November,rocket,large,25000000,0,hero_interference,1,1,failed_hero,minion_discipline,30,moderate,1
14,Operation_Nova_Plan,stealth,18,November,aircraft,large,8000000,0,detection,1,1,failed_detection,stealth_approach,20,lavish,0
15,Operation_Helio_Fail,direct_assault,20,November,rocket,massive,15000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,15,lavish,0
16,Operation_Burn_Run,orbital_approach,4,November,weather_balloon,small,50000000,0,solar_radiation,1,0,failed_technical,timing_optimization,12,minimal,0
17,Operation_Hot_Zone,infiltration,15,November,aircraft,large,30000000,0,hero_interference,1,1,failed_hero,thorough_pre_mission_data_analysis,25,lavish,1
18,Operation_Flash_Grab,direct_assault,22,November,rocket,massive,5000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,10,lavish,0
19,Operation_Arc_Light,stealth,10,November,drone_swarm,medium,70000000,0,detection,1,1,failed_detection,stealth_approach,35,moderate,0
20,Operation_Sunfall,underground_route,3,November,submarine,small,2000000,0,technical_failure,1,0,failed_technical,advanced_tech,8,minimal,0
21,Operation_Ghost_Approach,stealth,6,March,space_capsule,small,145000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,50,classified,0
22,Operation_Covert_Burn,infiltration,7,July,drone_swarm,small,143000000,1,detection,0,0,mission_success,small_team_efficiency,45,moderate,0
23,Operation_Quiet_Sun,stealth,5,February,space_capsule,small,147000000,1,hero_interference,0,0,mission_success,proper_extraction_plan,55,lavish,0
24,Operation_Apex_Run,orbital_approach,8,September,rocket,medium,140000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,48,classified,0
25,Operation_Micro_Strike,stealth,6,April,space_capsule,small,148000000,1,detection,0,0,mission_success,stealth_approach,52,classified,0
26,Operation_Nimble_Seven,infiltration,7,January,drone_swarm,small,144000000,1,hero_interference,1,0,mission_success,small_team_efficiency,42,moderate,1
27,Operation_Swift_Grab,stealth,5,June,space_capsule,small,146000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,58,classified,0
28,Operation_Shadow_Six,orbital_approach,6,August,rocket,small,142000000,1,detection,0,0,mission_success,timing_optimization,40,moderate,0
29,Operation_Phantom_Eight,stealth,8,October,space_capsule,small,147500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,60,classified,0
30,Operation_Lean_Team,infiltration,5,May,drone_swarm,small,143500000,1,detection,0,0,mission_success,small_team_efficiency,44,moderate,0
31,Operation_Compact_Run,stealth,7,December,space_capsule,small,146500000,1,hero_interference,0,0,mission_success,proper_extraction_plan,50,lavish,0
32,Operation_Six_Star,orbital_approach,6,February,rocket,small,141000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,55,classified,0
33,Operation_Five_Strong,stealth,5,July,space_capsule,small,148000000,1,detection,0,0,mission_success,stealth_approach,47,moderate,0
34,Operation_Elite_Squad,infiltration,7,March,drone_swarm,small,144000000,1,hero_interference,1,0,mission_success,small_team_efficiency,43,moderate,1
35,Operation_Minimal_Force,stealth,6,October,space_capsule,small,145500000,1,solar_radiation,0,0,mission_success,timing_optimization,51,classified,0
36,Operation_Target_Sun,orbital_approach,8,April,rocket,medium,140500000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,56,classified,0
37,Operation_Precision_Strike,stealth,5,August,space_capsule,small,147000000,1,solar_radiation,1,0,mission_success,stealth_approach,49,classified,0
38,Operation_Compact_Squad,infiltration,7,January,drone_swarm,small,143000000,1,detection,0,0,mission_success,small_team_efficiency,41,moderate,0
39,Operation_Solo_Shot,stealth,6,March,space_capsule,small,40000000,0,detection,1,1,failed_detection,stealth_approach,20,moderate,0
40,Operation_Fast_Five,direct_assault,5,September,rocket,small,15000000,0,hero_interference,1,1,failed_hero,advanced_tech,12,moderate,1
41,Operation_Small_Fail,infiltration,7,June,drone_swarm,small,25000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,18,minimal,0
42,Operation_Mini_Mess,stealth,8,February,space_capsule,small,35000000,0,technical_failure,1,1,failed_technical,timing_optimization,15,minimal,0
43,Operation_Tiny_Force,orbital_approach,6,July,rocket,small,20000000,0,solar_radiation,1,1,failed_technical,advanced_tech,10,minimal,0
44,Operation_Squad_Six,stealth,5,January,space_capsule,small,45000000,0,detection,1,1,failed_detection,stealth_approach,22,moderate,0
45,Operation_Light_Team,infiltration,7,August,drone_swarm,small,30000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,17,minimal,0
46,Operation_Quick_Fail,stealth,6,October,space_capsule,small,10000000,0,hero_interference,1,1,failed_hero,timing_optimization,8,moderate,1
47,Operation_Slim_Run,direct_assault,5,April,rocket,small,18000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,14,minimal,0
48,Operation_Small_Squad,stealth,8,December,space_capsule,small,28000000,0,detection,1,0,failed_detection,stealth_approach,20,moderate,0
49,Operation_Lite_Strike,infiltration,6,May,drone_swarm,small,22000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,16,minimal,0
50,Operation_Thin_Force,orbital_approach,7,September,rocket,small,38000000,0,solar_radiation,1,1,failed_technical,advanced_tech,18,minimal,0
51,Operation_Compact_Fail,stealth,5,February,space_capsule,small,12000000,0,detection,1,1,failed_detection,stealth_approach,10,moderate,0
52,Operation_Six_Gone,direct_assault,6,July,aircraft,small,8000000,0,hero_interference,1,1,failed_hero,advanced_tech,12,moderate,1
53,Operation_Seven_Out,infiltration,7,March,drone_swarm,small,32000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,15,minimal,0
54,Operation_Eight_Down,stealth,8,October,space_capsule,small,48000000,0,detection,1,1,failed_detection,stealth_approach,25,moderate,0
55,Operation_Mini_Loss,direct_assault,5,January,rocket,small,6000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,8,minimal,0
56,Operation_Small_Block,stealth,6,June,space_capsule,small,35000000,0,technical_failure,1,1,failed_technical,timing_optimization,18,minimal,0
57,Operation_Compact_Hit,infiltration,7,August,drone_swarm,small,20000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,14,minimal,0
58,Operation_Micro_Fail,orbital_approach,5,December,space_capsule,small,42000000,0,solar_radiation,1,0,failed_technical,timing_optimization,22,minimal,0
59,Operation_Quick_Squad,stealth,6,April,rocket,small,15000000,0,detection,1,1,failed_detection,stealth_approach,10,moderate,0
60,Operation_Lean_Loss,direct_assault,8,September,aircraft,small,9000000,0,hero_interference,1,1,failed_hero,minion_discipline,12,moderate,1
61,Operation_Massive_Strike,orbital_approach,15,March,rocket,large,140000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,45,lavish,0
62,Operation_Legion_Sun,direct_assault,18,July,rocket,large,138000000,1,detection,0,0,mission_success,advanced_tech,52,lavish,0
63,Operation_Force_Hundred,infiltration,20,February,aircraft,massive,135000000,1,hero_interference,1,0,mission_success,proper_extraction_plan,58,lavish,1
64,Operation_Army_Advance,stealth,16,September,rocket,large,142000000,1,solar_radiation,0,0,mission_success,timing_optimization,48,lavish,0
65,Operation_Big_Squad,orbital_approach,22,April,rocket,massive,136000000,1,detection,1,0,mission_success,thorough_pre_mission_data_analysis,55,lavish,0
66,Operation_Heavy_Force,direct_assault,15,October,aircraft,large,139000000,1,hero_interference,1,0,mission_success,advanced_tech,50,lavish,1
67,Operation_Full_Army,infiltration,25,January,rocket,massive,133000000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,60,lavish,0
68,Operation_Mass_Run,stealth,17,May,drone_swarm,large,141000000,1,detection,0,0,mission_success,stealth_approach,44,lavish,0
69,Operation_Crowd_Sun,orbital_approach,19,August,rocket,large,137000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,52,lavish,0
70,Operation_Bulk_Strike,direct_assault,16,December,aircraft,large,140000000,1,hero_interference,0,0,mission_success,advanced_tech,46,lavish,0
71,Operation_Max_Force,infiltration,30,June,rocket,massive,134000000,1,detection,0,0,mission_success,budget_management,57,lavish,0
72,Operation_Grand_Siege,orbital_approach,18,February,rocket,large,143000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,49,lavish,0
73,Operation_Army_Fail,direct_assault,20,March,rocket,massive,12000000,0,detection,1,1,failed_detection,advanced_tech,15,lavish,0
74,Operation_Horde_Down,direct_assault,25,July,rocket,massive,8000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,10,lavish,0
75,Operation_Legion_Block,orbital_approach,18,January,aircraft,large,20000000,0,hero_interference,1,1,failed_hero,timing_optimization,18,lavish,1
76,Operation_Mass_Fail,direct_assault,22,September,rocket,massive,5000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,8,lavish,0
77,Operation_Crowd_Bust,infiltration,30,April,drone_swarm,massive,15000000,0,detection,1,1,failed_detection,stealth_approach,20,lavish,0
78,Operation_Big_Blunder,direct_assault,20,August,rocket,large,9000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,12,lavish,0
79,Operation_Force_Down,orbital_approach,16,October,aircraft,large,25000000,0,solar_radiation,1,1,failed_technical,advanced_tech,22,lavish,0
80,Operation_Army_Block,direct_assault,24,May,rocket,massive,7000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,lavish,0
81,Operation_Group_Fail,infiltration,18,December,drone_swarm,large,18000000,0,detection,1,1,failed_detection,stealth_approach,15,lavish,0
82,Operation_Squad_Down,direct_assault,19,February,rocket,large,10000000,0,hero_interference,1,1,failed_hero,advanced_tech,12,lavish,1
83,Operation_Mob_Bust,orbital_approach,25,July,aircraft,massive,6000000,0,minion_distraction,1,1,failed_distraction,timing_optimization,8,lavish,0
84,Operation_Crowd_Fail,direct_assault,20,March,rocket,large,14000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,11,lavish,0
85,Operation_Herd_Block,infiltration,28,October,drone_swarm,massive,20000000,0,detection,1,1,failed_detection,stealth_approach,16,lavish,0
86,Operation_Mass_Block,direct_assault,16,January,rocket,large,8000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,9,lavish,0
87,Operation_Team_Down,orbital_approach,22,June,aircraft,large,22000000,0,hero_interference,1,1,failed_hero,timing_optimization,18,lavish,1
88,Operation_Force_Fail,direct_assault,18,September,rocket,massive,11000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,10,lavish,0
89,Operation_Army_Loss,infiltration,25,April,drone_swarm,massive,16000000,0,detection,1,1,failed_detection,advanced_tech,14,lavish,0
90,Operation_Bulk_Down,direct_assault,20,August,rocket,large,7000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,8,lavish,0
91,Operation_Swarm_Fail,orbital_approach,30,December,aircraft,massive,5000000,0,detection,1,0,failed_detection,timing_optimization,12,lavish,0
92,Operation_Dense_Block,direct_assault,17,May,rocket,large,13000000,0,hero_interference,1,1,failed_hero,advanced_tech,15,lavish,1
93,Operation_Many_Fail,infiltration,21,February,drone_swarm,large,18000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,10,lavish,0
94,Operation_Large_Loss,direct_assault,23,July,rocket,massive,9000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,11,lavish,0
95,Operation_Crowd_Down,orbital_approach,19,October,aircraft,large,24000000,0,solar_radiation,1,0,failed_technical,advanced_tech,20,lavish,0
96,Operation_Horde_Fail,direct_assault,26,March,rocket,massive,6000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,8,lavish,0
97,Operation_Mass_Miss,infiltration,18,January,drone_swarm,large,17000000,0,detection,1,1,failed_detection,stealth_approach,13,lavish,0
98,Operation_Troop_Fail,direct_assault,20,August,rocket,large,10000000,0,hero_interference,1,1,failed_hero,advanced_tech,12,lavish,1
99,Operation_Swarm_Down,orbital_approach,22,June,aircraft,massive,4000000,0,minion_distraction,1,1,failed_distraction,timing_optimization,7,lavish,0
100,Operation_Force_Loss,direct_assault,28,September,rocket,massive,8000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,lavish,0
101,Operation_Exit_Plan,stealth,7,March,space_capsule,small,148000000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,55,classified,0
102,Operation_Return_Route,orbital_approach,6,August,rocket,medium,146000000,1,detection,0,0,mission_success,proper_extraction_plan,50,lavish,0
103,Operation_Escape_First,stealth,8,January,space_capsule,small,147500000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,58,classified,1
104,Operation_Exit_Strategy,infiltration,5,June,drone_swarm,small,148500000,1,solar_radiation,0,0,mission_success,proper_extraction_plan,52,classified,0
105,Operation_Safe_Return,stealth,7,October,space_capsule,medium,145000000,1,detection,0,0,mission_success,proper_extraction_plan,48,lavish,0
106,Operation_Retreat_Plan,orbital_approach,6,February,rocket,small,149000000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,60,classified,0
107,Operation_Escape_Plan,stealth,8,July,space_capsule,small,147000000,1,detection,0,0,mission_success,proper_extraction_plan,54,classified,0
108,Operation_Extract_First,infiltration,5,April,drone_swarm,small,148000000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,56,lavish,1
109,Operation_Exit_Secure,stealth,7,December,space_capsule,small,146500000,1,solar_radiation,0,0,mission_success,proper_extraction_plan,49,classified,0
110,Operation_Route_Back,orbital_approach,6,September,rocket,medium,145500000,1,detection,0,0,mission_success,proper_extraction_plan,51,lavish,0
111,Operation_Safe_Passage,stealth,8,March,space_capsule,small,148000000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,57,classified,0
112,Operation_Exit_Route,infiltration,5,May,drone_swarm,small,147500000,1,detection,0,0,mission_success,proper_extraction_plan,47,classified,0
113,Operation_Return_First,stealth,7,August,space_capsule,small,149000000,1,hero_interference,0,0,mission_success,thorough_pre_mission_data_analysis,62,lavish,1
114,Operation_Plan_Ahead,orbital_approach,6,January,rocket,small,146000000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,55,classified,0
115,Operation_Exit_Victory,stealth,8,October,space_capsule,medium,147000000,1,detection,0,0,mission_success,proper_extraction_plan,53,lavish,0
116,Operation_Escape_Ready,infiltration,5,June,drone_swarm,small,148500000,1,solar_radiation,0,0,mission_success,proper_extraction_plan,48,classified,0
117,Operation_Safe_Out,stealth,7,February,space_capsule,small,146000000,1,detection,0,0,mission_success,proper_extraction_plan,50,classified,0
118,Operation_Retreat_Ready,orbital_approach,6,April,rocket,small,147000000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,56,lavish,1
119,Operation_Secure_Exit,stealth,8,July,space_capsule,small,148000000,1,solar_radiation,0,0,mission_success,proper_extraction_plan,52,classified,0
120,Operation_Extract_Win,infiltration,5,September,drone_swarm,small,147500000,1,detection,0,0,mission_success,proper_extraction_plan,44,classified,0
121,Operation_Route_Clear,stealth,7,December,space_capsule,medium,145500000,1,solar_radiation,1,0,mission_success,proper_extraction_plan,58,lavish,0
122,Operation_Exit_Clear,orbital_approach,6,March,rocket,small,149000000,1,detection,0,0,mission_success,proper_extraction_plan,51,classified,0
123,Operation_Exit_Block,direct_assault,20,July,rocket,large,15000000,0,hero_interference,1,1,failed_hero,proper_extraction_plan,12,lavish,1
124,Operation_No_Exit,direct_assault,18,January,aircraft,large,20000000,0,minion_distraction,1,1,failed_distraction,proper_extraction_plan,10,lavish,0
125,Operation_Exit_Fail,orbital_approach,25,April,rocket,massive,8000000,0,detection,1,0,failed_detection,proper_extraction_plan,15,lavish,0
126,Operation_Stealth_Win,stealth,9,February,space_capsule,medium,144000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,42,moderate,0
127,Operation_Covert_Victory,infiltration,11,March,drone_swarm,medium,141000000,1,detection,0,0,mission_success,stealth_approach,48,moderate,0
128,Operation_Dark_Victory,stealth,10,May,space_capsule,medium,142000000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,50,classified,1
129,Operation_Deep_Strike,orbital_approach,12,August,rocket,medium,139000000,1,solar_radiation,1,0,mission_success,timing_optimization,45,lavish,0
130,Operation_Precision_Win,stealth,9,October,space_capsule,medium,143000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,52,classified,0
131,Operation_Smart_Run,infiltration,11,January,drone_swarm,medium,140000000,1,solar_radiation,0,0,mission_success,advanced_tech,44,moderate,0
132,Operation_Data_Victory,stealth,10,June,space_capsule,small,148000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,58,classified,0
133,Operation_Analyze_Win,orbital_approach,12,September,rocket,medium,141000000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,46,classified,1
134,Operation_Insight_Strike,stealth,9,December,space_capsule,medium,144000000,1,solar_radiation,0,0,mission_success,small_team_efficiency,43,moderate,0
135,Operation_Info_Victory,infiltration,10,February,drone_swarm,small,148500000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,55,classified,0
136,Operation_Smart_Strike,stealth,11,April,space_capsule,medium,142000000,1,solar_radiation,1,0,mission_success,stealth_approach,48,classified,0
137,Operation_Data_Run,orbital_approach,12,July,rocket,medium,140000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,51,classified,0
138,Operation_Clever_Win,stealth,9,October,space_capsule,small,147000000,1,hero_interference,0,0,mission_success,timing_optimization,47,moderate,0
139,Operation_Brain_Strike,infiltration,10,March,drone_swarm,medium,143000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,54,classified,0
140,Operation_Logic_Run,stealth,11,May,space_capsule,medium,145000000,1,detection,0,0,mission_success,small_team_efficiency,41,moderate,0
141,Operation_Plan_Win,orbital_approach,12,August,rocket,medium,138000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,49,lavish,0
142,Operation_Prep_Victory,stealth,9,January,space_capsule,small,148000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,56,classified,0
143,Operation_Research_Win,infiltration,10,June,drone_swarm,medium,142000000,1,hero_interference,1,0,mission_success,thorough_pre_mission_data_analysis,52,classified,1
144,Operation_Study_Strike,stealth,11,September,space_capsule,medium,144000000,1,solar_radiation,0,0,mission_success,stealth_approach,44,classified,0
145,Operation_Intel_Run,orbital_approach,12,December,rocket,medium,141000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,47,classified,0
146,Operation_Insight_Win,stealth,9,February,space_capsule,small,147500000,1,solar_radiation,1,0,mission_success,advanced_tech,53,classified,0
147,Operation_Data_Strike,infiltration,10,April,drone_swarm,medium,143000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,50,classified,0
148,Operation_Chaos_Run,direct_assault,15,March,rocket,large,12000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,10,moderate,0
149,Operation_Mess_Strike,infiltration,12,July,aircraft,medium,18000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,14,moderate,0
150,Operation_Blur_Run,stealth,9,January,space_capsule,medium,30000000,0,detection,1,0,failed_detection,stealth_approach,18,moderate,0
151,Operation_Slip_Strike,direct_assault,14,October,rocket,large,8000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,moderate,0
152,Operation_Trip_Run,orbital_approach,11,May,aircraft,medium,22000000,0,hero_interference,1,1,failed_hero,timing_optimization,15,moderate,1
153,Operation_Flop_Strike,direct_assault,13,August,rocket,large,10000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,11,moderate,0
154,Operation_Blur_Fail,stealth,10,February,drone_swarm,medium,35000000,0,detection,1,0,failed_detection,stealth_approach,20,moderate,0
155,Operation_Wobble_Run,infiltration,12,June,aircraft,medium,15000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,12,moderate,0
156,Operation_Stumble_Strike,direct_assault,15,September,rocket,large,6000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,8,lavish,0
157,Operation_Fumble_Run,stealth,9,December,space_capsule,medium,28000000,0,detection,1,0,failed_detection,stealth_approach,16,moderate,0
158,Operation_Bobble_Strike,orbital_approach,14,April,rocket,large,20000000,0,hero_interference,1,1,failed_hero,timing_optimization,17,lavish,1
159,Operation_Tumble_Run,direct_assault,11,July,aircraft,medium,9000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,10,moderate,0
160,Operation_Juggle_Fail,infiltration,13,January,drone_swarm,medium,25000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,14,moderate,0
161,Operation_Scramble_Strike,stealth,10,March,space_capsule,medium,32000000,0,detection,1,0,failed_detection,stealth_approach,18,moderate,0
162,Operation_Muddle_Run,direct_assault,15,August,rocket,large,7000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,moderate,0
163,Operation_Bungle_Strike,orbital_approach,12,October,aircraft,large,18000000,0,hero_interference,1,1,failed_hero,timing_optimization,16,lavish,1
164,Operation_Fumble_Fail,direct_assault,14,May,rocket,large,11000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,11,lavish,0
165,Operation_Muddle_Fail,stealth,9,February,drone_swarm,medium,28000000,0,detection,1,0,failed_detection,stealth_approach,17,moderate,0
166,Operation_Wobble_Fail,infiltration,11,June,aircraft,medium,14000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,12,moderate,0
167,Operation_Stumble_Fail,direct_assault,13,September,rocket,large,5000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,8,lavish,0
168,Operation_Trip_Fail,stealth,10,December,space_capsule,medium,30000000,0,detection,1,0,failed_detection,stealth_approach,19,moderate,0
169,Operation_Flop_Fail,orbital_approach,15,April,rocket,large,16000000,0,hero_interference,1,1,failed_hero,timing_optimization,14,lavish,1
170,Operation_Chaos_Fail,direct_assault,12,July,aircraft,large,8000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,moderate,0
171,Operation_Mess_Fail,stealth,9,January,drone_swarm,medium,22000000,0,detection,1,0,failed_detection,stealth_approach,15,moderate,0
172,Operation_Blur_Bust,infiltration,14,March,aircraft,medium,13000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,11,moderate,0
173,Operation_Slip_Fail,direct_assault,11,August,rocket,large,6000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,8,lavish,0
174,Operation_Juggle_Bust,stealth,13,October,space_capsule,medium,28000000,0,detection,1,0,failed_detection,stealth_approach,16,moderate,0
175,Operation_Bungle_Bust,orbital_approach,15,May,rocket,large,10000000,0,hero_interference,1,1,failed_hero,timing_optimization,13,lavish,1
176,Operation_Scramble_Bust,direct_assault,12,February,aircraft,large,7000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,9,moderate,0
177,Operation_Bobble_Bust,infiltration,10,June,drone_swarm,medium,20000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,13,moderate,0
178,Operation_Tumble_Bust,stealth,14,September,space_capsule,medium,35000000,0,detection,1,0,failed_detection,stealth_approach,20,moderate,0
179,Operation_Flail_Run,direct_assault,13,December,rocket,large,5000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,7,moderate,0
180,Operation_Flail_Strike,orbital_approach,11,April,aircraft,medium,15000000,0,hero_interference,1,1,failed_hero,timing_optimization,14,lavish,1
181,Operation_Wander_Fail,stealth,9,July,drone_swarm,medium,25000000,0,detection,1,0,failed_detection,stealth_approach,16,moderate,0
182,Operation_Drift_Run,direct_assault,15,January,rocket,large,8000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,10,lavish,0
183,Operation_Stray_Strike,infiltration,12,March,aircraft,medium,18000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,13,moderate,0
184,Operation_Wander_Bust,stealth,10,August,space_capsule,medium,30000000,0,detection,1,0,failed_detection,stealth_approach,17,moderate,0
185,Operation_Drift_Fail,orbital_approach,14,October,rocket,large,12000000,0,hero_interference,1,1,failed_hero,timing_optimization,15,lavish,1
186,Operation_Stray_Fail,direct_assault,11,May,aircraft,large,6000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,8,lavish,0
187,Operation_Wander_Strike,infiltration,13,February,drone_swarm,medium,22000000,0,minion_distraction,1,0,failed_distraction,small_team_efficiency,12,moderate,0
188,Operation_Tech_Fail,orbital_approach,14,March,rocket,large,40000000,0,solar_radiation,1,0,failed_technical,advanced_tech,25,moderate,0
189,Operation_Heat_Block,stealth,10,July,space_capsule,medium,55000000,0,solar_radiation,1,0,failed_technical,timing_optimization,30,classified,0
190,Operation_Vector_Block,direct_assault,12,January,rocket,large,20000000,0,hero_interference,1,0,failed_hero,minion_discipline,15,lavish,1
191,Operation_Detect_Fail,stealth,9,August,drone_swarm,medium,38000000,0,detection,1,0,failed_detection,stealth_approach,22,moderate,0
192,Operation_Signal_Block,infiltration,11,May,aircraft,medium,42000000,0,detection,1,0,failed_detection,advanced_tech,28,moderate,0
193,Operation_Radiation_Hit,orbital_approach,14,October,rocket,large,65000000,0,solar_radiation,1,0,failed_technical,timing_optimization,35,lavish,0
194,Operation_Scan_Fail,stealth,10,February,space_capsule,medium,48000000,0,detection,1,0,failed_detection,stealth_approach,25,classified,0
195,Operation_Thermal_Block,direct_assault,12,June,rocket,large,30000000,0,solar_radiation,1,0,failed_technical,advanced_tech,20,lavish,0
196,Operation_Intercept_Fail,infiltration,11,September,aircraft,medium,35000000,0,hero_interference,1,0,failed_hero,small_team_efficiency,18,moderate,1
197,Operation_Lock_Out,stealth,9,December,drone_swarm,medium,45000000,0,detection,1,0,failed_detection,stealth_approach,24,moderate,0
198,Operation_Radar_Catch,orbital_approach,13,April,rocket,large,52000000,0,detection,1,0,failed_detection,timing_optimization,28,lavish,0
199,Operation_Flame_Block,direct_assault,14,July,aircraft,large,25000000,0,solar_radiation,1,0,failed_technical,advanced_tech,18,lavish,0
200,Operation_Blocked_Path,infiltration,11,January,drone_swarm,medium,40000000,0,hero_interference,1,0,failed_hero,small_team_efficiency,20,moderate,1
